,OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen,geometry,points
12166,12167,9126,900,918,901,969,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.066,0.066, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,285.7003168895933,"LINESTRING (-7912919.89439261 5211730.848731212, -7913014.242208517 5211660.335050196)",<shapely.coords.CoordinateSequence object at 0x14d4b5400>
12167,12168,7683,920,958,971,975,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.024,0.024, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,51.90742786473478,"LINESTRING (-7913014.242208517 5211660.335050196, -7913030.547444001 5211646.467687791)",<shapely.coords.CoordinateSequence object at 0x14d4b53a0>
12168,12169,10585,1008,1012,1001,1009,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.023,0.023, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,48.289790720094615,"LINESTRING (-7913129.906764025 5211571.638921279, -7913145.95919605 5211559.864550877)",<shapely.coords.CoordinateSequence object at 0x14d4b5340>
12169,12170,10586,1014,1014,1011,1033,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.056,0.056, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,125.96513059813618,"LINESTRING (-7913145.95919605 5211559.864550877, -7913187.832090776 5211529.150626086)",<shapely.coords.CoordinateSequence object at 0x14d4b52e0>
12170,12171,7686,1016,1028,1035,1055,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.085,0.085, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,183.02779061189517,"LINESTRING (-7913187.832090776 5211529.150626086, -7913249.109732733 5211485.128975265)",<shapely.coords.CoordinateSequence object at 0x14d4b5280>
12171,12172,7687,1030,1044,1057,1071,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.075,0.075, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,163.01151473060972,"LINESTRING (-7913249.109732733 5211485.128975265, -7913303.468484349 5211445.618980758)",<shapely.coords.CoordinateSequence object at 0x14d4b5220>
12172,12173,22134,1108,1112,1109,1113,,Tremont,ST,,Boston,Boston,A31,35,,,,,0,0,S,28,Roxbury,Roxbury,0.01230753,0.01230753, , ,MA,MA,025,025,07000,07000,02115,02120, , ,07000,07000,4181,37.90719862034862,"LINESTRING (-7913432.940029227 5211353.54849137, -7913446.187007119 5211345.266002345)",<shapely.coords.CoordinateSequence object at 0x14d4b51c0>
12173,12174,21316,,,1115,1135,,Tremont,ST,,Boston,Boston,A35,35,FT,,,,0,0,S,28,Roxbury,Roxbury,0.04914003,-1.0, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,4181,151.35129480234892,"LINESTRING (-7913446.187007119 5211345.266002345, -7913462.884944522 5211344.814183876, -7913483.590377981 5211332.465687766, -7913501.84675798 5211321.020840713)",<shapely.coords.CoordinateSequence object at 0x14d4b5160>
12174,12175,20819,,,1154,1114,,Tremont,ST,,Boston,Boston,A35,35,FT,,,,0,0,S,28,Roxbury,Roxbury,0.08518858,-1.0, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,262.3808405930594,"LINESTRING (-7913531.680459696 5211281.716592432, -7913492.496014195 5211306.71469282, -7913453.868122023 5211331.411570358, -7913446.187007119 5211345.266002345)",<shapely.coords.CoordinateSequence object at 0x14d4b5100>
12175,12176,19901,,,1001,1081,,Columbus,AVE,,Boston,Boston,A45,15,FT,,,,0,0,,,Roxbury,Roxbury,0.21743999,-1.0, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,954,287.0207890178758,"LINESTRING (-7913555.28023506 5211400.834369107, -7913572.831649786 5211382.645409087, -7913543.711722706 5211294.056913999)",<shapely.coords.CoordinateSequence object at 0x14d4b50a0>
